,Missing Values,Percentage (%)
employment_occupation,13470,50.43621522447298
employment_industry,13330,49.91200808776725
health_insurance,12274,45.95798854232972
income_poverty,4423,16.561201183210393
doctor_recc_h1n1,2160,8.087767252031302
doctor_recc_seasonal,2160,8.087767252031302
rent_or_own,2042,7.645935522522185
employment_status,1463,5.477964578574905
marital_status,1408,5.272026060583368
education,1407,5.2682817238926125
chronic_med_condition,971,3.635750926723331
child_under_6_months,820,3.070356086419291
health_worker,804,3.010446699367207
opinion_seas_sick_from_vacc,537,2.01070880293556
opinion_seas_risk,514,1.9245890590481898
opinion_seas_vacc_effective,462,1.7298835511289177
opinion_h1n1_sick_from_vacc,395,1.4790129928483169
opinion_h1n1_vacc_effective,391,1.464035646085296
opinion_h1n1_risk,388,1.4528026360130304
household_children,249,0.932339835998053
household_adults,249,0.932339835998053
behavioral_avoidance,208,0.7788220316770884
behavioral_touch_face,128,0.4792750964166698
h1n1_knowledge,116,0.43434305612760693
h1n1_concern,92,0.3444789755494814
behavioral_large_gatherings,87,0.32575729209570525
behavioral_outside_home,82,0.3070356086419291
behavioral_antiviral_meds,71,0.2658479050436215
behavioral_wash_hands,42,0.15726214101171979
behavioral_face_mask,19,0.07114239712434943
hhs_geo_region,0,0.0
census_msa,0,0.0
sex,0,0.0
race,0,0.0
age_group,0,0.0
respondent_id,0,0.0
